"WASHINGTON REAGAN NATIONAL AIRPORT, VA US (USW00013743)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1945-07-01,,99,76,0.34,0.0,0.0
1945-07-02,,93,70,0.93,0.0,0.0
1945-07-03,,82,65,0.00,0.0,0.0
1945-07-04,,83,65,0.00,0.0,0.0
1945-07-05,,85,70,0.43,0.0,0.0
1945-07-06,,87,72,0.00,0.0,0.0
1945-07-07,,86,70,0.00,0.0,0.0
1945-07-08,,87,66,0.00,0.0,0.0
1945-07-09,,87,66,0.39,0.0,0.0
1945-07-10,,88,66,0.00,0.0,0.0
1945-07-11,,76,64,0.00,0.0,0.0
1945-07-12,,79,57,0.00,0.0,0.0
1945-07-13,,84,63,0.00,0.0,0.0
1945-07-14,,80,70,1.29,0.0,0.0
1945-07-15,,75,70,0.57,0.0,0.0
1945-07-16,,78,68,0.00,0.0,0.0
1945-07-17,,72,67,2.05,0.0,0.0
1945-07-18,,78,66,0.97,0.0,0.0
1945-07-19,,80,70,0.36,0.0,0.0
1945-07-20,,88,70,0.00,0.0,0.0
1945-07-21,,88,71,0.00,0.0,0.0
1945-07-22,,86,70,1.31,0.0,0.0
1945-07-23,,84,71,0.00,0.0,0.0
1945-07-24,,84,77,0.20,0.0,0.0
1945-07-25,,86,70,0.00,0.0,0.0
1945-07-26,,90,73,0.00,0.0,0.0
1945-07-27,,86,71,0.00,0.0,0.0
1945-07-28,,85,71,1.35,0.0,0.0
1945-07-29,,79,70,0.37,0.0,0.0
1945-07-30,,88,70,0.00,0.0,0.0
1945-07-31,,87,74,0.50,0.0,0.0
1945-08-01,,85,69,0.03,0.0,0.0
1945-08-02,,84,72,0.03,0.0,0.0
1945-08-03,,88,70,0.68,0.0,0.0
1945-08-04,,81,64,0.00,0.0,0.0
1945-08-05,,81,65,0.00,0.0,0.0
1945-08-06,,82,72,0.00,0.0,0.0
1945-08-07,,85,69,0.06,0.0,0.0
1945-08-08,,79,66,0.00,0.0,0.0
1945-08-09,,81,63,0.00,0.0,0.0
1945-08-10,,85,63,0.00,0.0,0.0
1945-08-11,,85,66,0.00,0.0,0.0
1945-08-12,,85,64,0.00,0.0,0.0
1945-08-13,,86,70,0.00,0.0,0.0
1945-08-14,,87,73,0.00,0.0,0.0
1945-08-15,,90,72,0.25,0.0,0.0
1945-08-16,,79,65,0.00,0.0,0.0
1945-08-17,,79,64,0.00,0.0,0.0
1945-08-18,,82,68,0.01,0.0,0.0
1945-08-19,,84,64,0.00,0.0,0.0
1945-08-20,,86,65,0.00,0.0,0.0
1945-08-21,,87,65,0.00,0.0,0.0
1945-08-22,,94,69,0.00,0.0,0.0
1945-08-23,,78,66,0.34,0.0,0.0
1945-08-24,,69,64,0.43,0.0,0.0
1945-08-25,,80,60,0.29,0.0,0.0
1945-08-26,,75,60,0.00,0.0,0.0
1945-08-27,,78,56,0.00,0.0,0.0
1945-08-28,,89,57,0.00,0.0,0.0
1945-08-29,,94,65,0.00,0.0,0.0
1945-08-30,,94,70,0.00,0.0,0.0
1945-08-31,,89,66,0.50,0.0,0.0
1945-09-01,,91,71,0.00,0.0,0.0
1945-09-02,,81,67,0.21,0.0,0.0
1945-09-03,,80,64,0.00,0.0,0.0
1945-09-04,,80,65,0.00,0.0,0.0
